# PWG tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
218	samudrarasana -> samudraraSana	[consensus,spell_correct]	morph✓
218	taptaSUrmi -> taptasUrmi	[intra_dup,spell_correct]	morph✓
218	vikramakeSarin -> vikramakesarin	[consensus,spell_correct]	morph✓
217	BUmIBuj -> BUmiBuj	[consensus,intra_dup]	
217	KarvUja -> KarbUja	[intra_dup,spell_correct]	morph✓
217	aBivAha -> avivAha	[consensus,intra_dup]	morph✓
217	devakilviza -> devakilbiza	[consensus,intra_dup]	morph✓
217	hoQ -> hoq	[consensus,intra_dup]	morph✓
217	kolUta -> kOlUta	[consensus,intra_dup]	morph✓
217	kusuruvinda -> kusurubinda	[intra_dup,spell_correct]	morph✓
217	lOhitASva -> lohitASva	[consensus,intra_dup]	morph✓
217	somadEvata -> somadevata	[intra_dup,spell_correct]	morph✓
217	svayaMBfta -> svayaMvfta	[consensus,intra_dup]	morph✓
217	vAgvali -> vAgbali	[intra_dup,spell_correct]	morph✓
217	vAwIya -> vAtIya	[consensus,intra_dup]	morph✓
217	wup -> tup	[consensus,intra_dup]	morph✓
217	yOzmAkIRa -> yOzmAkIna	[consensus,spell_correct]	morph✓
216	BAvavanDana -> BAvabanDana	[consensus,spell_correct]	morph✓
216	Dabalapakza -> Davalapakza	[consensus,spell_correct]	morph✓
216	GanDakAlikA -> ganDakAlikA	[consensus,spell_correct]	morph✓
216	aDogaRwA -> aDoGaRwA	[consensus,spell_correct]	morph✓
216	bArdala -> vArdala	[consensus,spell_correct]	morph✓
216	bUvaSarman -> bUbaSarman	[consensus,spell_correct]	morph✓
216	daRqabaDa -> daRqavaDa	[consensus,spell_correct]	morph✓
216	gagaRANganA -> gaganANganA	[consensus,spell_correct]	morph✓
216	gagaRagaYja -> gaganagaYja	[consensus,spell_correct]	morph✓
216	gagaRagati -> gaganagati	[consensus,spell_correct]	morph✓
216	lAvAkza -> lAbAkza	[intra_dup,spell_correct]	morph✓
216	libikara -> livikara	[consensus,spell_correct]	morph✓
216	maRiraTa -> maRirata	[intra_dup,spell_correct]	morph✓
216	masIDanI -> mazIDanI	[consensus,spell_correct]	morph✓
216	nAgabaDU -> nAgavaDU	[consensus,spell_correct]	morph✓
216	pARivanDa -> pARibanDa	[consensus,spell_correct]	morph✓
216	pitfvAnDava -> pitfbAnDava	[consensus,spell_correct]	morph✓
216	prEpa -> prepa	[intra_dup,spell_correct]	morph✓
216	sunAyaka -> sumAyaka	[intra_dup,spell_correct]	morph✓
216	valapura -> balapura	[consensus,spell_correct]	morph✓
216	valavftrahan -> balavftrahan	[consensus,spell_correct]	morph✓
210	AhicCatra -> ahicCatra	[consensus,intra_dup]	
210	AtiSAyika -> AtiSayika	[consensus,intra_dup]	
210	SilABAva -> SilABava	[consensus,intra_dup]	
210	amftapraBA -> amftapraBa	[consensus,intra_dup]	
210	atimuktakamAlA -> atimuktakamalA	[intra_dup,spell_correct]	
210	carajyA -> cArajyA	[consensus,intra_dup]	
210	ciraMjIvA -> ciraMjIva	[consensus,intra_dup]	
210	devapAda -> devapada	[consensus,intra_dup]	
210	guRqikA -> guRqika	[consensus,intra_dup]	
210	kASmIrikA -> kASmIrika	[consensus,intra_dup]	
210	kAYcanapraBA -> kAYcanapraBa	[consensus,intra_dup]	
210	kAlUtara -> kalUtara	[consensus,intra_dup]	
210	mAtaNgaja -> mataNgaja	[consensus,intra_dup]	
210	mahAhrasva -> mahAhrasvA	[consensus,intra_dup]	
210	nalvavartmaga -> nalvavartmagA	[consensus,intra_dup]	
210	parAYjana -> paraYjana	[consensus,intra_dup]	
210	paramezWA -> paramezWa	[consensus,intra_dup]	
210	pitfgaRA -> pitfgaRa	[consensus,intra_dup]	
210	piwAkyA -> piwakyA	[consensus,intra_dup]	
210	prAkPAlgunI -> prAkPalgunI	[consensus,intra_dup]	
210	pruzwA -> pruzwa	[consensus,intra_dup]	
210	saMBAva -> saMBava	[consensus,intra_dup]	
210	saMBavya -> saMBAvya	[consensus,intra_dup]	
210	smarya -> smArya	[consensus,intra_dup]	
210	sumaha -> sumahA	[intra_dup,spell_correct]	
210	surAgfha -> suragfha	[consensus,intra_dup]	
210	tamapraBA -> tamapraBa	[consensus,intra_dup]	
210	upajIvA -> upajIva	[consensus,intra_dup]	
210	vikAritA -> vikArita	[consensus,intra_dup]	
209	ASitar -> aSitar	[intra_dup,spell_correct]	
209	aBray -> aBrAy	[intra_dup,spell_correct]	
209	asUryaMpaSyA -> asUryaMpaSya	[consensus,spell_correct]	
209	azwApAd -> azwapAd	[consensus,spell_correct]	
209	balay -> balAy	[intra_dup,spell_correct]	
209	gosaMBavA -> gosaMBava	[intra_dup,spell_correct]	
209	kzudrapatra -> kzudrapatrA	[consensus,spell_correct]	
209	meGay -> meGAy	[intra_dup,spell_correct]	
209	nanandar -> nanAndar	[intra_dup,spell_correct]	
207	masijala -> masIjala	[consensus,intra_dup]	
206	pratisAram -> pratIsAram	[intra_dup,spell_correct]	
206	varitar -> varItar	[intra_dup,spell_correct]	
204	mAtfbanDU -> mAtfbanDu	[consensus,intra_dup]	
204	saMBu -> SaMBu	[consensus,intra_dup]	
203	apAzWi -> apAzwi	[consensus,intra_dup]	
203	samitar -> Samitar	[intra_dup,spell_correct]	
203	upasiMhana -> upaSiMhana	[intra_dup,spell_correct]	
202	ArgayaRa -> Argayana	[intra_dup,spell_correct]	
202	SoDikA -> SODikA	[consensus,intra_dup]	
202	ajavasta -> ajabasta	[intra_dup,spell_correct]	
202	antarvESika -> antarveSika	[intra_dup,spell_correct]	
202	aprayAvan -> aprayAvam	[consensus,intra_dup]	
202	dABI -> qABI	[intra_dup,spell_correct]	
202	pratAn -> pratAm	[consensus,intra_dup]	
202	somadevatya -> somadEvatya	[consensus,intra_dup]	
201	aRuvedAntarasaprakaraRa -> anuvedAntarasaprakaraRa	[intra_dup,spell_correct]	
201	biBedayisu -> biBedayizu	[consensus,spell_correct]	
201	dAzAy -> dAsAy	[intra_dup,spell_correct]	
201	vizoQa -> viSoQa	[consensus,spell_correct]	
156	arI|a -> (flag)	[charset]	
155	ja|u -> (flag)	[charset]	
154	goopaSa -> (flag)	[phonotactic]	
154	sahasramI|a -> (flag)	[charset]	
154	svarmI|a -> (flag)	[charset]	
152	nF~HpraRetra -> (flag)	[phonotactic]	
152	sAmU|ika -> (flag)	[charset]	
