# VCP tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
247	arba -> arBa	[consensus,intra_dup]	morph✓
247	karvura -> karbura	[consensus,intra_dup]	morph✓
247	kfzara -> kfsara	[consensus,intra_dup]	morph✓
247	reba -> reBa	[consensus,intra_dup]	morph✓
247	vimbI -> bimbI	[intra_dup,spell_correct]	morph✓
246	PeRila -> Penila	[consensus,intra_dup]	morph✓
246	karvudAra -> karbudAra	[consensus,intra_dup]	morph✓
246	proQi -> prOQi	[consensus,intra_dup]	morph✓
246	tadit -> taqit	[consensus,intra_dup]	morph✓
246	tiRiSa -> tiniSa	[consensus,intra_dup]	morph✓
246	uSa -> uza	[consensus,intra_dup]	morph✓
246	vrahmadaRqI -> brahmadaRqI	[intra_dup,spell_correct]	morph✓
246	vrahmasAman -> brahmasAman	[intra_dup,spell_correct]	morph✓
245	devatiTi -> devAtiTi	[consensus,intra_dup]	morph✓
245	goja -> gojA	[consensus,intra_dup]	morph✓
245	kikira -> kikirA	[consensus,intra_dup]	morph✓
244	aroDana -> AroDana	[consensus,intra_dup]	morph✓
244	gaRqalI -> gaRqAlI	[consensus,intra_dup]	morph✓
244	karagrAha -> karagraha	[consensus,intra_dup]	morph✓
244	pUrvadakziRA -> pUrvadakziRa	[consensus,spell_correct]	morph✓
241	avantIsoma -> avantisoma	[consensus,intra_dup]	morph✓
241	kani -> kanI	[consensus,intra_dup]	morph✓
240	KaYjA -> KaYja	[consensus,intra_dup]	
240	dohA -> doha	[consensus,intra_dup]	
240	kvaTitA -> kvaTita	[consensus,intra_dup]	
239	ajjUkA -> ajjukA	[consensus,intra_dup]	morph✓
239	antarapuruza -> antarapUruza	[consensus,intra_dup]	morph✓
239	daseraka -> daSeraka	[consensus,intra_dup]	morph✓
239	sPurja -> sPUrja	[consensus,intra_dup]	morph✓
239	tfRapulI -> tfRapUlI	[consensus,intra_dup]	morph✓
238	jambuKaRqa -> jambUKaRqa	[consensus,intra_dup]	morph✓
238	kIkaSa -> kIkasa	[consensus,intra_dup]	morph✓
238	nirudDaprakasa -> nirudDaprakaSa	[consensus,spell_correct]	morph✓
237	Amiz -> Amis	[consensus,intra_dup]	morph✓
237	Buvanakoza -> BuvanakoSa	[consensus,intra_dup]	morph✓
237	aSvabaqava -> aSvavaqava	[consensus,intra_dup]	morph✓
237	nisunDa -> nisunda	[consensus,intra_dup]	morph✓
237	trizuparRa -> trisuparRa	[consensus,intra_dup]	morph✓
237	vfhadelA -> bfhadelA	[consensus,intra_dup]	morph✓
237	vfhadvAruRI -> bfhadvAruRI	[consensus,intra_dup]	morph✓
236	Kuda -> Kuqa	[consensus,intra_dup]	morph✓
236	SyomAka -> SyoRAka	[consensus,intra_dup]	morph✓
236	guqapAka -> gudapAka	[consensus,intra_dup]	morph✓
236	kerava -> kErava	[consensus,intra_dup]	morph✓
236	nIlalOha -> nIlaloha	[consensus,spell_correct]	morph✓
236	pItavIjA -> pItabIjA	[consensus,intra_dup]	morph✓
236	puzkaravIja -> puzkarabIja	[consensus,intra_dup]	morph✓
236	puzpavARa -> puzpabARa	[consensus,intra_dup]	morph✓
236	tribali -> trivali	[consensus,spell_correct]	morph✓
236	vfhattiktA -> bfhattiktA	[consensus,intra_dup]	morph✓
236	vrahmacAriRI -> brahmacAriRI	[intra_dup,spell_correct]	morph✓
235	agrajihvA -> agrajihva	[consensus,intra_dup]	morph✓
235	anaNgaleKa -> anaNgaleKA	[consensus,intra_dup]	morph✓
235	gadagada -> gadAgada	[consensus,intra_dup]	morph✓
235	mAkarI -> makarI	[consensus,intra_dup]	morph✓
235	piYjAla -> piYjala	[consensus,intra_dup]	morph✓
235	ullasana -> ullAsana	[consensus,intra_dup]	morph✓
234	Acatura -> acatura	[consensus,intra_dup]	morph✓
234	AraRyamudga -> araRyamudga	[consensus,intra_dup]	morph✓
234	apAkftya -> apakftya	[consensus,intra_dup]	morph✓
234	apAkriyA -> apakriyA	[consensus,intra_dup]	morph✓
232	DaraRiruha -> DaraRIruha	[consensus,intra_dup]	morph✓
232	kuveRi -> kuveRI	[consensus,intra_dup]	morph✓
232	kzipaRI -> kzipaRi	[consensus,intra_dup]	morph✓
232	romAvali -> romAvalI	[consensus,intra_dup]	morph✓
232	sahasrARIka -> sahasrAnIka	[consensus,intra_dup]	
231	DaraRiDft -> DaraRIDft	[consensus,intra_dup]	morph✓
231	tIrTarAji -> tIrTarAjI	[consensus,intra_dup]	morph✓
230	klizwA -> klizwa	[consensus,intra_dup]	
230	lelihA -> leliha	[consensus,intra_dup]	
228	SErIya -> sErIya	[consensus,intra_dup]	morph✓
228	SruvAvfkza -> sruvAvfkza	[consensus,intra_dup]	morph✓
228	kapikacCUPalopamA -> kapikacCuPalopamA	[consensus,spell_correct]	morph✓
228	kuYjarAsana -> kuYjarASana	[consensus,intra_dup]	morph✓
228	sambarAri -> SambarAri	[consensus,intra_dup]	morph✓
228	tUrva -> turva	[consensus,intra_dup]	morph✓
227	danAyu -> DanAyu	[consensus,intra_dup]	morph✓
227	kozI -> koSI	[intra_dup,spell_correct]	morph✓
226	Danusa -> Danuza	[consensus,intra_dup]	morph✓
226	PeRadugDA -> PenadugDA	[consensus,intra_dup]	morph✓
226	amlalonikA -> amlaloRikA	[consensus,intra_dup]	morph✓
226	nfgaDUma -> mfgaDUma	[consensus,spell_correct]	morph✓
226	nirvarhaRa -> nirbarhaRa	[consensus,intra_dup]	morph✓
226	paripana -> paripaRa	[consensus,intra_dup]	morph✓
226	ucCala -> uccala	[consensus,intra_dup]	morph✓
226	vahuvAraka -> bahuvAraka	[intra_dup,spell_correct]	morph✓
226	vfhadrAvin -> bfhadrAvin	[consensus,intra_dup]	morph✓
226	vfhadvalka -> bfhadvalka	[consensus,intra_dup]	morph✓
226	vfhadvat -> bfhadvat	[intra_dup,spell_correct]	morph✓
226	vfhatpAlin -> bfhatpAlin	[consensus,intra_dup]	morph✓
226	vfhatpIlu -> bfhatpIlu	[consensus,intra_dup]	morph✓
226	vfhattAla -> bfhattAla	[consensus,intra_dup]	morph✓
226	visakusuma -> bisakusuma	[consensus,intra_dup]	morph✓
226	vrahmakoSI -> brahmakoSI	[intra_dup,spell_correct]	morph✓
226	vrahmopanetf -> brahmopanetf	[intra_dup,spell_correct]	morph✓
225	aDaHkAra -> aDaHkara	[consensus,intra_dup]	morph✓
225	anumfta -> anumftA	[consensus,intra_dup]	morph✓
225	apomaya -> Apomaya	[consensus,intra_dup]	morph✓
225	kxptakIla -> kxptakIlA	[consensus,intra_dup]	morph✓
225	vahalA -> vahala	[consensus,intra_dup]	morph✓
224	AtmarAma -> AtmArAma	[consensus,intra_dup]	morph✓
224	BakUwa -> BAkUwa	[consensus,intra_dup]	morph✓
224	CattraDara -> CattraDAra	[consensus,intra_dup]	morph✓
224	Davani -> DAvani	[consensus,intra_dup]	morph✓
224	OmAka -> Omaka	[consensus,spell_correct]	morph✓
224	araRyarASi -> AraRyarASi	[consensus,intra_dup]	morph✓
224	bAhutra -> bahutra	[consensus,intra_dup]	morph✓
224	cakrapada -> cakrapAda	[consensus,intra_dup]	morph✓
224	nAgaramardin -> nagaramardin	[consensus,intra_dup]	morph✓
224	nirmretukA -> nirmretuka	[consensus,spell_correct]	morph✓
224	paYcapatra -> paYcapAtra	[consensus,intra_dup]	morph✓
224	prAdozaka -> pradozaka	[consensus,intra_dup]	morph✓
224	puzkarasada -> puzkarasAda	[consensus,intra_dup]	morph✓
224	qahU -> qahu	[consensus,intra_dup]	
224	sitivAra -> SitivAra	[consensus,intra_dup]	
224	ukTaSAs -> ukTaSas	[consensus,intra_dup]	morph✓
222	balIka -> balika	[consensus,intra_dup]	morph✓
221	avantIbrahma -> avantibrahma	[consensus,intra_dup]	morph✓
221	indI -> indi	[intra_dup,spell_correct]	morph✓
221	kAYcipada -> kAYcIpada	[consensus,intra_dup]	morph✓
221	kavayi -> kavayI	[consensus,intra_dup]	morph✓
221	maDumalli -> maDumallI	[consensus,intra_dup]	morph✓
221	tUlanAli -> tUlanAlI	[consensus,intra_dup]	morph✓
219	SaktuPalI -> saktuPalI	[intra_dup,spell_correct]	morph✓
219	pattraSirA -> pattrasirA	[intra_dup,spell_correct]	morph✓
218	SruGna -> sruGna	[consensus,intra_dup]	morph✓
218	ataptatanu -> ataptatanU	[consensus,intra_dup]	morph✓
218	jambUvanaja -> jambuvanaja	[consensus,intra_dup]	morph✓
218	kalambu -> kalambU	[consensus,intra_dup]	morph✓
218	keSarisuta -> kesarisuta	[consensus,intra_dup]	morph✓
218	pAMSukzAra -> pAMsukzAra	[consensus,intra_dup]	morph✓
218	pAMSumardana -> pAMsumardana	[consensus,intra_dup]	morph✓
218	tarutulikA -> tarutUlikA	[consensus,intra_dup]	morph✓
217	DOrita -> Dorita	[consensus,intra_dup]	morph✓
217	agrARIka -> agrAnIka	[consensus,intra_dup]	morph✓
217	baDUwI -> vaDUwI	[consensus,intra_dup]	morph✓
217	devakilviza -> devakilbiza	[consensus,intra_dup]	morph✓
217	dora -> qora	[consensus,intra_dup]	morph✓
217	kolUta -> kOlUta	[consensus,intra_dup]	morph✓
217	nakza -> makza	[consensus,intra_dup]	morph✓
217	vadaravallI -> badaravallI	[intra_dup,spell_correct]	morph✓
217	vfhaqQakkA -> bfhaqQakkA	[intra_dup,spell_correct]	morph✓
216	Jiri -> jiri	[consensus,intra_dup]	morph✓
216	KiNkira -> kiNkira	[consensus,intra_dup]	morph✓
216	PaYji -> paYji	[consensus,intra_dup]	morph✓
216	PeRAgra -> PenAgra	[consensus,intra_dup]	morph✓
216	PeRavAhin -> PenavAhin	[consensus,intra_dup]	morph✓
216	diRqira -> qiRqira	[consensus,intra_dup]	morph✓
216	dvimAsya -> dvimAzya	[consensus,intra_dup]	morph✓
216	kArzmarI -> kArSmarI	[consensus,intra_dup]	morph✓
216	kavatI -> kavawI	[consensus,intra_dup]	morph✓
216	maDuvIjapUra -> maDubIjapUra	[consensus,intra_dup]	morph✓
216	padmavIjABa -> padmabIjABa	[consensus,intra_dup]	morph✓
216	pfzadbala -> pfzadvala	[consensus,spell_correct]	morph✓
216	proQapAda -> prOQapAda	[consensus,intra_dup]	morph✓
216	tElacorikA -> tElacOrikA	[consensus,spell_correct]	morph✓
216	vazkayiRI -> bazkayiRI	[consensus,intra_dup]	morph✓
216	vfhaccaYcu -> bfhaccaYcu	[consensus,intra_dup]	morph✓
216	vidyAcana -> vidyAcaRa	[consensus,intra_dup]	morph✓
216	vrAhmaRakAmyA -> brAhmaRakAmyA	[intra_dup,spell_correct]	morph✓
216	vrAhmaRalakzaRa -> brAhmaRalakzaRa	[intra_dup,spell_correct]	morph✓
216	vrahmANgaBU -> brahmANgaBU	[intra_dup,spell_correct]	morph✓
216	vrahmajijYAsA -> brahmajijYAsA	[intra_dup,spell_correct]	morph✓
212	upADeya -> upAdeya	[consensus,intra_dup]	
212	vadaraPalI -> badaraPalI	[intra_dup,spell_correct]	
211	niha -> miha	[consensus,intra_dup]	
210	AhicCatra -> ahicCatra	[consensus,intra_dup]	
210	dAGa -> daGa	[consensus,intra_dup]	
210	kARqapuzpA -> kARqapuzpa	[consensus,intra_dup]	
210	nfsenA -> nfsena	[consensus,intra_dup]	
210	parIRasA -> parIRasa	[consensus,intra_dup]	
210	sarvaBakzA -> sarvaBakza	[consensus,intra_dup]	
210	tIrRA -> tIrRa	[consensus,intra_dup]	
210	tulApragrAha -> tulApragraha	[consensus,intra_dup]	
210	upakvARa -> upakvaRa	[consensus,intra_dup]	
209	aByupetyA -> aByupetya	[consensus,intra_dup]	
209	jArita -> jarita	[consensus,intra_dup]	
209	pataNgA -> pataNga	[consensus,intra_dup]	
207	KamUlI -> KamUli	[consensus,intra_dup]	
207	masijala -> masIjala	[consensus,intra_dup]	
206	Iga -> iga	[consensus,intra_dup]	
206	jAtIkozI -> jAtikozI	[intra_dup,spell_correct]	
206	jAtipatrI -> jAtIpatrI	[consensus,intra_dup]	
204	kosalAtmajA -> koSalAtmajA	[consensus,intra_dup]	
203	dAsanadinI -> dASanadinI	[intra_dup,spell_correct]	
203	kOsalyAtanaya -> kOSalyAtanaya	[intra_dup,spell_correct]	
203	kisarAdi -> kiSarAdi	[intra_dup,spell_correct]	
203	tanUruw -> tanuruw	[intra_dup,spell_correct]	
202	ArgayaRa -> Argayana	[intra_dup,spell_correct]	
202	Darmakoza -> DarmakoSa	[consensus,intra_dup]	
202	avineya -> aBineya	[consensus,intra_dup]	
202	preRa -> prema	[consensus,intra_dup]	
201	ahivuDna -> ahibuDna	[intra_dup,spell_correct]	
201	bAliKilya -> vAliKilya	[consensus,spell_correct]	
201	bfhadvIja -> vfhadvIja	[consensus,intra_dup]	
201	pUrvadigbala -> pUrbadigbala	[intra_dup,spell_correct]	
201	pUrvadigvadana -> pUrbadigvadana	[intra_dup,spell_correct]	
201	pUrvanadI -> pUrbanadI	[intra_dup,spell_correct]	
201	vaDUtsava -> baDUtsava	[intra_dup,spell_correct]	
201	vahusravA -> bahusravA	[intra_dup,spell_correct]	
201	vfhaccitra -> bfhaccitra	[intra_dup,spell_correct]	
201	vfhadDana -> bfhadDana	[intra_dup,spell_correct]	
201	vfhadgu -> bfhadgu	[intra_dup,spell_correct]	
201	vfhadraTantara -> bfhadraTantara	[intra_dup,spell_correct]	
201	vfhaduttaratApanI -> bfhaduttaratApanI	[intra_dup,spell_correct]	
201	vfhajjAbAla -> bfhajjAbAla	[intra_dup,spell_correct]	
201	viSvac -> vizvac	[consensus,intra_dup]	
201	vrAhmaRasama -> brAhmaRasama	[intra_dup,spell_correct]	
201	vrahmABijAtA -> brahmABijAtA	[intra_dup,spell_correct]	
201	vrahmahatyAsama -> brahmahatyAsama	[intra_dup,spell_correct]	
201	vrahmalakzaRa -> brahmalakzaRa	[intra_dup,spell_correct]	
201	vrahmasattA -> brahmasattA	[intra_dup,spell_correct]	
201	vrahmavarcasvin -> brahmavarcasvin	[intra_dup,spell_correct]	
166	vahu -> bahu	[spell_correct]	morph✓
151	asUrkzaRa -> (flag)	[charset]	
