# PUI tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
224	aSvArUQA -> aSvArUQa	[consensus,spell_correct]	morph✓
224	arihA -> ariha	[consensus,spell_correct]	morph✓
224	bAlika -> balika	[consensus,spell_correct]	morph✓
224	bahava -> bAhava	[consensus,spell_correct]	morph✓
224	brahmaBAgA -> brahmaBAga	[consensus,spell_correct]	morph✓
224	brahmadA -> brahmada	[consensus,spell_correct]	morph✓
224	daMzwrAlA -> daMzwrAla	[consensus,spell_correct]	morph✓
224	dfQAcyuta -> dfQacyuta	[consensus,spell_correct]	morph✓
224	gARapatA -> gARapata	[consensus,spell_correct]	morph✓
224	gAva -> gava	[consensus,spell_correct]	morph✓
224	kAlajihvA -> kAlajihva	[consensus,spell_correct]	morph✓
224	kArowaka -> karowaka	[consensus,spell_correct]	morph✓
224	kArzaRi -> karzaRi	[consensus,spell_correct]	morph✓
224	karamBavAluka -> karamBavAlukA	[consensus,spell_correct]	morph✓
224	kulaha -> kulAha	[consensus,spell_correct]	morph✓
224	kzatri -> kzAtri	[consensus,spell_correct]	morph✓
224	madodDatA -> madodData	[consensus,spell_correct]	morph✓
224	mahAprakASA -> mahAprakASa	[consensus,spell_correct]	morph✓
224	mahAsTala -> mahAsTAla	[consensus,spell_correct]	morph✓
224	nEkA -> nEka	[consensus,spell_correct]	morph✓
224	niyutsa -> niyutsA	[consensus,spell_correct]	morph✓
224	pAnnagAri -> pAnnAgAri	[consensus,spell_correct]	morph✓
224	paYcavarRA -> paYcavarRa	[consensus,spell_correct]	morph✓
224	pannAgAri -> pAnnAgAri	[consensus,spell_correct]	morph✓
224	pitfgATa -> pitfgATA	[consensus,spell_correct]	morph✓
224	rajeyu -> rAjeyu	[consensus,spell_correct]	morph✓
224	sAhari -> sahari	[consensus,spell_correct]	morph✓
224	sArameyadana -> sArameyAdana	[consensus,spell_correct]	morph✓
224	sfpA -> sfpa	[consensus,spell_correct]	morph✓
224	sohAYji -> sohaYji	[consensus,spell_correct]	morph✓
224	somapAda -> somapada	[consensus,spell_correct]	morph✓
224	surozA -> suroza	[consensus,spell_correct]	morph✓
224	susTalA -> susTala	[consensus,spell_correct]	morph✓
224	trivarzA -> trivarza	[consensus,spell_correct]	morph✓
224	tumburA -> tumbura	[consensus,spell_correct]	morph✓
224	vaMSaDarA -> vaMSaDArA	[consensus,spell_correct]	morph✓
224	varAmbarA -> varambarA	[consensus,spell_correct]	morph✓
224	vicitrarUpA -> vicitrarUpa	[consensus,spell_correct]	morph✓
224	vrAtinI -> vratinI	[intra_dup,spell_correct]	morph✓
224	vrajapati -> vrAjapati	[consensus,spell_correct]	morph✓
223	kUwi -> kuwi	[consensus,spell_correct]	
222	maRivaka -> maRIvaka	[consensus,spell_correct]	morph✓
221	Srivfkzaka -> SrIvfkzaka	[consensus,spell_correct]	morph✓
221	bAlAyanI -> bAlAyani	[consensus,spell_correct]	morph✓
221	devavItI -> devavIti	[consensus,spell_correct]	morph✓
221	javIna -> javina	[consensus,spell_correct]	morph✓
221	kolIkila -> kolikila	[consensus,spell_correct]	morph✓
221	nijaDftI -> nijaDfti	[consensus,spell_correct]	morph✓
221	nimlocani -> nimlocanI	[consensus,spell_correct]	morph✓
221	parRavi -> parRavI	[consensus,spell_correct]	morph✓
221	pratikASva -> pratIkASva	[consensus,spell_correct]	morph✓
221	sarvayonI -> sarvayoni	[consensus,spell_correct]	morph✓
221	tAmravarRi -> tAmravarRI	[intra_dup,spell_correct]	morph✓
221	vIraRi -> vIraRI	[consensus,spell_correct]	morph✓
220	sukAma -> sukAmA	[consensus,intra_dup]	
220	vEDftA -> vEDfta	[consensus,intra_dup]	
219	mUrDA -> mUrDa	[consensus,spell_correct]	
218	kusu -> kusU	[consensus,spell_correct]	morph✓
218	sItAdri -> SItAdri	[consensus,spell_correct]	morph✓
218	sUrpAkAra -> SUrpAkAra	[intra_dup,spell_correct]	morph✓
218	suklAyana -> SuklAyana	[consensus,spell_correct]	morph✓
218	vinDyacUlika -> vinDyaculika	[consensus,spell_correct]	morph✓
217	brahmaDAna -> brahmadAna	[consensus,spell_correct]	morph✓
217	skandika -> skanDika	[consensus,spell_correct]	morph✓
217	vizam -> viSam	[intra_dup,spell_correct]	morph✓
216	DUmaSikA -> DUmaSiKA	[consensus,spell_correct]	morph✓
216	Svetarata -> SvetaraTa	[consensus,spell_correct]	morph✓
216	barhanASva -> barhaRASva	[consensus,spell_correct]	morph✓
216	devasTAni -> dEvasTAni	[consensus,spell_correct]	morph✓
216	gOtamAnvaya -> gotamAnvaya	[consensus,spell_correct]	morph✓
216	lAvakft -> lABakft	[consensus,spell_correct]	morph✓
216	mahAgoza -> mahAGoza	[consensus,spell_correct]	morph✓
216	prabAhI -> pravAhI	[consensus,spell_correct]	morph✓
216	reRava -> rERava	[consensus,spell_correct]	morph✓
216	turanya -> turaRya	[consensus,spell_correct]	morph✓
216	uSadraTa -> uzadraTa	[consensus,spell_correct]	morph✓
216	vERi -> veRi	[consensus,spell_correct]	morph✓
210	nimlocA -> nimloca	[consensus,intra_dup]	
209	BAvina -> Bavina	[consensus,spell_correct]	
209	aSvAsya -> ASvAsya	[consensus,spell_correct]	
209	cAturvarRa -> caturvarRa	[consensus,spell_correct]	
209	kAmArttA -> kAmArtta	[consensus,spell_correct]	
209	pradyoti -> prAdyoti	[consensus,spell_correct]	
209	sADitA -> sADita	[consensus,spell_correct]	
209	trisanDyA -> trisanDya	[consensus,spell_correct]	
209	vfzAsya -> vfzasya	[consensus,spell_correct]	
209	viSvasya -> viSvAsya	[consensus,spell_correct]	
207	kAmalI -> kAmali	[consensus,intra_dup]	
206	varDini -> varDinI	[consensus,spell_correct]	
202	madyam -> maDyam	[intra_dup,spell_correct]	
201	ArADi -> ArAQi	[consensus,spell_correct]	
201	amarka -> anarka	[consensus,intra_dup]	
201	karRIra -> karmIra	[consensus,spell_correct]	
201	pravAhuka -> prabAhuka	[consensus,spell_correct]	
151	BIzMacaRqika -> (flag)	[phonotactic]	
151	haMsaaparvata -> (flag)	[phonotactic]	
151	p2rTivI -> (flag)	[charset]	
