# BHS -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 294 headwords that LOOK like misspellings but which BHS records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS BHS.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the BHS entry text

# ===== WRONG-READING (6) =====
iryA           -> irya           | {@iryā, iryāpatha, iryāvant, iryavant@}, semi-MIndic spelling for {@īry˚@}, q.v.
jAnayati       -> janayati       | {@jānayati@} (= janayati; 〔§ 38.15〕), {%produces%}: kāyabalasthāmaṃ jānayitvā Mv 〔ii.131.10〕 (prose), cf. LV 〔272.9〕 kāyabalasthāma saṃjanayya; jānayi sarvi vik
jalahara       -> jalahAra       | {@jalahara@}, {%ocean%}, see {@jaladhara@}.
jatya          -> jAtya          | ? {@jatya@}, perh. by error for a-jatya, itself either error, or with MIndic a for ā, for Skt. a-jātya (= Pali a-jacca); or else (perhaps more likely) error for
kAsi           -> kASi           | {@kāsi@}, etc., aor. of kṛ, q.v. in Chap. 43.
kOSIdya        -> kOsIdya        | {@kauśīdya@} = {@kaus˚@} q.v.
kUhaka         -> kuhaka         | {@(a-)kūhaka@}, adj., {%(not) deceiving%}: Dbh.g. 〔16(352).18〕 sumanāś ca akūhakaś ca; prob. m.c. for Skt. kuhaka. Cf. next.
kaSyapIya      -> kASyapIya      | {@Kaśyapīya@}, see s.v. {@Kāśyapīya@}.
kalpaduzya     -> kalpadUzya     | {@kalpa-duṣya@}, or {@˚dūṣya@}, nt. (see {@duṣya, dūṣya@}; Senart always prints duṣya in Mv text but cites dūṣya in Index), (fine) {%cloth made from the kalpa-v
koravya        -> kOravya        | {@Koravya@}, see {@Kaur˚@}.
kuSInagarI     -> kuSinagarI     | {@Kuśīnagarī@} = {@Kuśi˚@}, q.v.
kzaRA          -> kzaRa          | [{@kṣaṇā@}, f., acc. to Divy 〔643.2〕, = Skt. kṣaṇa, of a definite unit of time; but in line 3 the word is nt., kṣaṇāny; and in the parallel 〔644.11〕 it seems to
lawikA         -> latikA         | [{@laṭikā@}, app. misprint for latikā (so Index): Mvy 〔433〕 = Tib. khri śiṅ, {%creeper%}; but Mironov {@prapāṭikā@}, q.v.]
mAnAtva        -> nAnAtva        | [{@mānātva@}, see {@mānatva@}.]
mOra           -> mora           | {@maura@} = {@mora@}, q.v.
maNgusa        -> maNguza        | ? {@maṅgusa@}, see {@bhaṅgakula@}.
maRqavya       -> mARqavya       | {@Maṇḍavya@}, see {@Māṇḍavya@}.
manasIkAra     -> manasikAra     | {@manasīkāra@} (to prec.) = {@manasi˚@}: KP 〔71.8〕 (prose), see s.v. {@yoniśaḥ@}.
mazwa          -> nazwa          | {@maṣṭa(ka)@}, see {@māṣṭa(ka)@}.
niDyApti       -> niDyapti       | {@nidhyāpti@}, Mvy 〔7460〕, prob. error for {@nidhyapti@}, q.v.
nirupaka       -> nirUpaka       | {@nirupaka@}, see {@upaka@}.
opaDika        -> OpaDika        | [{@opadhika@}, assumed by Weller on LV 〔32.1〕, but see s.v. {@upadhika@}.]
osa            -> oza            | {@osa@}, see {@avaśya@}.
pArihARi       -> parihARi       | {@pārihāṇi@}, or {@˚ni@}, f. (cf. prec.; = Skt. and Pali pari˚; 〔§ 3.10〕), {%loss%}: ˚ṇi Mv 〔ii.238.1〕 (prose); ˚ṇiṃ (acc.; mss. ˚ṇi, unmetr.) 〔391.21〕 (vs); ˚n
pAripUrRa      -> paripUrRa      | {@pāripūrṇa@}, adj., ppp. (m.c. for pari˚), {%full%}: śubha ˚ṇaṃ Mv 〔ii.299.11〕 (vs). Cf. prec.
pUrRika        -> pUrRikA        | {@Pūrṇika@} = {@Pūrṇamukha@} (2), q.v.
pUrvi          -> pUrvI          | {@pūrvi@}, m.c. for {@pūrve@}, q.v.
paRqaravAsinI  -> pARqaravAsinI  | {@Paṇḍaravāsinī@}, see {@Pā˚@}.
paYcagatika    -> pAYcagatika    | {@pañcagatika@}, adj., = {@pāñca˚@}, q.v.: mss. at MadhK 〔269.9〕 (ed. em. pāñca˚).
pariRizpanna   -> parinizpanna   | {@pariṇiṣpanna@}, see {@pariniṣ˚@}.
pariSrAvaRa    -> parisrAvaRa    | {@pariśrāvaṇa@}, see {@parisr˚@}.
parindanA      -> parIndanA      | {@parindanā@} (also {@parī˚@}; to {@parindāmi@}), {%the giving over, presenting%}: ˚nārthaṃ SP 〔391.1〕; ˚nayā LV 〔443.9〕; Dbh.g. 〔56(82).5〕 (prose, not vs); see
parisPUwa      -> parisPuwa      | {@parisphūṭa@}, adj. (cf. {@sphūṭa@}, on same page of LV, for {@sphuṭa@}), = prec.: (prabhayā …) ˚ṭo 'bhūt LV 〔86.3〕 (prose).
prAhita        -> prahita        | {@prāhita@} (if not error or misprint, = {@prahita@}, q.v.), {%intent, concentrated%} (here, on evil desires): kathaṃ ca tvaṃ ˚to mūrchito 'dhyavasito … Śikṣ 〔7
praBakara      -> praBAkara      | {@prabhakara@}, see {@prabhaṃkara@}.
praRada        -> pramada        | [{@praṇada@}, SP 〔51.13〕, read {@tuṇava@}, q.v.]
pracoqaka      -> pracodaka      | ? {@pracoḍaka@}, see {@praccopaka@}.
prajYApti      -> prajYapti      | {@prajñāpti@}, f., noted only in Mvy as substitute for the usual {@prajñapti@}, q.v., cf. {@vāhana-pra˚@} where in citing LV the Mvy substitutes ā for a in the 
pratiBARa      -> pratiBAna      | [{@pratibhāṇa@} is read by the mss., and sometimes in Nobelʼs text, of Suv, for {@pratibhāna@}, q.v.; it seems to be a mere corruption. Cf. next.]
purusakAra     -> puruzakAra     | {@purusakāra-@} (= Skt.), in ˚ra-phalam, one of the 5 {@phala@} (q.v.): Mvy 〔2274〕; sc. of karuṇā acc. to Sūtrāl. 〔xvii.31〕, comm., {%fruit consisting of heroic
rOruka         -> roruka         | {@Rauruka@} = {@Roruka@} (1), q.v.
ramin          -> rAmin          | [{@ramin@}, see {@sadāramin@}.]
ratnAmaya      -> ratnamaya      | {@rat(a)nāmaya@}, adj. (Pkt. rayaṇāmaya; = Skt. ratna˚; cf. {@ratanāmaka@}), {%made of jewels%}: (in prose) Mv 〔i.31.5〕; 〔32.3, 5, 10〕; 〔ii.109.3〕 (twice), 5; o
ritu           -> ftu            | {@ritu@} (MIndic = Skt. ṛtu; cf. AMg. riu), {%season%}: Gv 〔408.1〕 (vs; after vowel).
sAtagiri       -> sAtAgiri       | {@Sātagiri@}, see {@Sātāgiri@}.
sPUwa          -> sPuwa          | {@sphūṭa@}, adj. (= {@sphuṭa@}; cf. {@parisphūṭa@}), {%full%}: mahatāvabhāsena sphūṭā abhūvan LV 〔86.20〕 (prose).
sUDana         -> sUdana         | {@Sūdhana@}, see {@Sudhana@}.
sUmati         -> sumati         | {@Sūmati@}, m.c. for {@Sumati@} (1), q.v.
saMgrahaka     -> saMgrAhaka     | ? {@saṃgrahaka-@}, = (and prob. error for) {@saṃgrāhaka@}, {%charioteer%}, q.v.: ˚ka-rūpeṇa Gv 〔225.26〕 (without context), foll. by {@sārthavāhakarūpeṇa@}.
samAdapana     -> samAdApana     | {@samādapana, ˚nā@} (Pali id.; = {@˚dāpana, ˚nā@}; cf. next), {%incitement to assume, to take on oneself%}: bodhayi citta-samādapanena (mss. ˚yanena; ed. prints
samanvI        -> samanvi        | {@samanvī@}, in Gv 〔254.11〕 (vs), app. a semi-MIndic contracted form for samanvitaḥ, {%provided%}: dvātriṃśalakṣaṇa-˚vī so 'nuvyañjanai (read anu˚?) racitagātra
sarvArtuka     -> sarvartuka     | ? {@sarvārtuka@}, adj. (= Skt. sarvartuka; see also {@sarvotuka@}), {%of all seasons%}: ˚kāni (of flowers) Mv 〔ii.97.4〕 (prose). So app. both mss. (one is speci
satAgiri       -> sAtAgiri       | [{@Satāgiri@}, see {@Sā˚@}.]
soratya        -> sOratya        | {@soratya@}, see {@sauratya@}.
stAra          -> stara          | ? {@-stāra@}, see {@phalaha-@}.
suRqika        -> SuRqika        | {@suṇḍika@}, see {@śu˚@}.
supatIrTa      -> sUpatIrTa      | [{@supatīrtha@}, ep. of rivers of Sukhāvatī: Sukh 〔39.3〕; read (Skt.) sūpa˚, q.v. in BR.]
svAlaMkfta     -> svalaMkfta     | {@sv-ālaṃkṛta@}, adj. (m.c. for sv-a˚), {%well adorned%}: LV 〔220.15〕; 〔221.17〕; 〔282.10〕 (all vss). Cf. {@su-laṃkṛtikā@}.
syAma          -> SyAma          | {@Syāma(ka)@}, see {@Śyāma(ka)@}.
tftiya         -> tftIya         | {@tṛtiya@}, adj. (= Pali tatiya, Skt. tṛtīya), {%third%}; rare and only m.c. in BHS: SP 〔92.7〕; LV 〔111.11〕; by em. (mss. tṛtī˚), m.c., SP 〔46.11〕; Mv 〔i.174.16
tre            -> trE            | {@tre-@} for {@trai-@} in vṛddhi formations, see the following items.
udAnta         -> udanta         | [{@Udānta-@}, in proper names, see {@Udātta-@}.]
udgIraRa       -> udgiraRa       | {@udgīraṇa@} (?) see {@udguraṇa@}.
upADAna        -> upaDAna        | [{@upādhāna@}, Karmav 〔22.5〕, misprint for {@upadhāna@}, q.v.]
upaGAwa        -> upaGAta        | [{@upaghāṭa@}, wrong em. in ed. Mv 〔i.229.7〕; see {@aruṇodghāṭa@}.]
usIragiri      -> uSIragiri      | {@Usīragiri@} = {@Uśīra˚@}, q.v.
utsuKa         -> utsuka         | ? {@utsukha@} = Skt. utsuka, {%longing, desirous%}: Gv 〔330.25〕 ity utsukheṣu (so also 2d ed.). Perhaps error; but cf. Geiger 〔40.1〕; Pischel 〔p. 148, middle〕.
uzRiza         -> uzRIza         | {@uṣṇiṣa@} (m.c. for uṣṇīṣa), {%excrescence on the head%}: ˚ṣodgato (= ˚ṣa udgataḥ) RP 〔6.18〕 (vs).
vArzikA        -> vArzika        | {@vārṣikā@}, ({@1@}) Mv 〔i.19.11〕, taken by Senart as subst., {%garment for the rainy season%}; he reads (eraka) vārṣikā vā kārāpitā cīrakavārṣikā kārāpitā vā; 
vImati         -> vimati         | {@vīmati@}, m.c. for {@vimati@}, q.v.
vaRIpaka       -> vanIpaka       | {@vaṇīpaka@}, (only Mv 〔ii.100.4〕; 〔182.4, 9〕; also text 〔iii.254.18〕 but without ms. support), otherwise {@van˚@} (Skt. vaṇīpaka and ˚yaka, one of them certain
valAha         -> vAlAha         | {@Valāha@} (= Pali id.; also {@Vālāha, ˚haka, Balāhaka, Bālāha, ˚haka@}, qq.v.), n. of the horse (in Mv prose called {@Keśin@}, q.v.), hero of Pali Valāhassa Jā
vetAlika       -> vEtAlika       | ? {@vetālika@}, m., perh. to be read (mss. corrupt) for text vaitālika, tālika, Mv 〔iii.113.2〕; 〔442.8〕, in lists of entertainers; mg.? Skt. vait˚, {%panegyrist
vfsikA         -> bfsikA         | {@vṛsikā@}, see {@vṛṣ˚@}.
vikrAmin       -> vikramin       | {@vikrāmin@} (unrecorded elsewhere) ({@1@}) = Skt. vikramin, {%possessing prowess%}; chiefly m.c.; ˚mī, n. sg., Mvy 〔2400〕 (Mironov vikramī); Tib. rtsal (po) ch
vindusAra      -> bindusAra      | {@Vindusāra@}, see {@Bi˚@}.
vinivaraRa     -> vinivAraRa     | {@vi-nivaraṇa@}, see {@vi-nī˚@}.
viruQaka       -> virUQaka       | {@Viruḍhaka@}, m.c. for {@Virūḍhaka@}, q.v.
virupAkza      -> virUpAkza      | {@Virupākṣa@}, m.c. for {@Virūp˚@}, q.v.
visada         -> viSada         | {@visada@}, nt., a high number: Gv 〔133.16〕, cited in Mvy 〔7878〕 as {@vimadam@}, q.v., which is prob. to be read in Gv (graphic corruption). Seems not to occur 
vukka          -> bukka          | {@vukka@}, nt. (unrecorded MIndic, if not error or misprint, for Skt. vṛkka; cf. Pali vakka), {%kidney%}: ˚kaṃ ŚsP 〔1430.20〕; 〔1431.10〕, in lists of parts of th
yaTAtmya       -> yATAtmya       | {@yathātmya@} (nt., = Skt. yāthātmya), {%true nature%}: Mvy 〔858〕 ˚myāvatārakuśalaḥ (of Bodhisattvas; see s.v. {@avatāra@} 3).

# ===== OTHER-INTENTIONAL (67) =====
ABasvara       -> ABAsvara       | {@ābhasvara@} = {@ābhāsvara@}, a class of gods: Ud 〔xxx.49〕.
Adapana        -> AdApana        | {@ādapana@}, acc. to Kern SP Preface 〔p. vii〕, in Kashgar rec. of SP for Nep. ādāpana.
Ajanya         -> ajanya         | {@ājanya@}, also {@ājaniya, ājānya, ājāniya, ājāneya@}, adj. (= Pali ājañña, ājāniya, ājānīya, ājāneyya), {%of noble race, blooded%}, primarily of animals, esp.
Alambuza       -> alambuza       | ? {@ālambuṣa@} (m. or nt.?), n. of a plant: Mmk 〔82.18〕 ālambuṣa-mūlaṃ kṣīreṇa saha pīṣayitvā. Prose; perhaps error for alambuṣā, which is the only form recorde
AsPuwa         -> asPuwa         | ? {@āsphuṭa@}, adj., {%clear, clarified, illumined%}: LV 〔17.3〕 (prose) tenāvabhāsenāsphuṭa-samānā(ḥ), {%being illumined by that light%}. The mg. is certain, an
Atireka        -> atireka        | {@ātireka@} (m.c. for Skt. ati˚), {%excess%}: aṅga manorama divya-ātirekāḥ LV 〔49.15〕 (vs), {%his members are charming beyond divine ones%}.
Basati         -> vasati         | {@bhasati@} (m.c. for bhāṣati), {%speaks%}: bhasi, 2 sg. aor., LV 〔235.9〕 (vs).
Buta           -> BUta           | {@bhuta@}, m.c. for Skt. (and BHS) {@bhūta@}, {%become%}, etc.; {%true%}: (only vss) LV 〔54.3〕 (but in 〔53.8〕 prob. read tuma); 〔197.2〕 (read sakunā, or śa˚, bh
Cana           -> cana           | {@-chana@} for -channa (Skt.), {%covered%}, in (text) ducchanaṃ and succhanaṃ, yathā hy agāraṃ du˚ Ud 〔xxxi.11—16〕 and … su˚ 17—22; meter favors, indeed almost 
Darmita        -> DarmitA        | [{@-dharmita@}, Śikṣ 〔103.8〕 (vs) karuṇa-maitra-dharmitāḥ, could be taken as a denom. pple. to dharma, {%characterized%} (by …). But the passage is cited from G
Karta          -> karta          | {@kharta@}, ? in Mmk 〔157.4〕 (vs) ūrū cāsya vartulakau, kaurparau kharta-varjitau, {%and the elbows free from …?%} Prob. corrupt, but I can think of no plausibl
KedanA         -> Kedana         | {@khedanā@} (Skt. ˚na, nt.), {%lassitude%}: ŚsP 〔1462.10〕 (prose) na ca kadācit khedanopapadyate.
SantaSrI       -> SAntaSrI       | [{@Śantaś(i)rī, Śantābha@}, prob. by error for {@Śānt˚@}, qq.v.]
SikzaRA        -> SikzaRa        | {@śikṣaṇā@} (= Skt. ˚ṇa, nt., Pali sikkhaṇa), {%disciplined observance%} (with loc.): ekasyāṃ śikṣāyāṃ śikṣaṇāyām aśaktasyetaraśikṣānabhyāsād anāpattiḥ Śikṣ 〔11
aByanta        -> aByAnta        | [{@abhyanta-@}, read {@atyanta-@}, {%complete%}: Gv 〔243.21〕; Śikṣ 〔296.9〕.]
aDyASana       -> aDyaSana       | [{@adhyāśana@}, (probably error) for Skt. adhyāsana: samādhibhāvanādhyāśanatayā Gv 〔494.8—9〕, {%because it is the basis for realization%} (bringing into being) 
aSvara         -> asvara         | ? {@Aśvara@}, read prob. Aśvala, n. of a ṛṣi: Mmk 〔18.18〕.
anopama        -> anOpama        | {@an-opama@}, f. {@˚mī@}, adj. (= Pali id.; for Skt. anupama; in BHS prob. only m.c.), {%matchless%}: Mv 〔i.166.12〕 (˚mī); 〔207.18〕 = 〔ii.12.8〕; 〔ii.379.19〕; 〔i
antarAyika     -> AntarAyika     | {@antarāyika@}, adj. (= Pali id.; also {@āntar˚@}, and neg. {@an-antar˚@}, qq.v.), {%connected with hindrances; causing obstacles%} or {%obstruction%}, regularl
aparAjIta      -> aparAjita      | {@a-parājīta@}, adj. (m.c. for ˚jita), {%unconquered%}: Gv 〔57.18〕 (vs).
atISaya        -> atiSaya        | {@atīśaya@} (m.c. for Skt. ati˚), {%abundance%}: Mv 〔i.100.10〕 (vs).
biBatsa        -> bIBatsa        | {@bibhatsa@}, adj. (m.c. for Skt. bī˚), {%loathsome%}: LV 〔206.2〕 (vs).
cApAlya        -> cApalya        | ? {@cāpālya@} (nt., for Skt. cāpalya), {%instability%}: lakṣmī-˚ya- Divy 〔432.13〕 (prose); prob. read cāpalya.
darSaniya      -> darSanIya      | {@darśaniya@}, adj. (〔§ 3.42〕), {%beautiful%}: SP 〔313.13〕; LV 〔240.11〕 (em., mss. ˚nīya, unmetr.).
dfzwA          -> dfzwa          | {@dṛṣṭā@}, n. sg., for draṣṭā, to stem draṣṭr, {%seer%}: in same line dṛṣṭavya, for dra˚, gdve.: na dṛṣṭā na ca dṛṣṭavyaṃ [Page269-b] Laṅk 〔9.6〕 (vs), {%there i
gaBira         -> gaBIra         | {@gabhira@}, adj. (m.c. for gabhīra, gambhīra), {%deep, profound%}: Sukh 〔7.18〕 (vs).
guRABUta       -> guRaBUta       | {@guṇā-bhūta@}, adj. (for Skt. guṇa˚, with ā m.c.), {%dependent%}: Mv 〔i.182.4〕 (vs) tasya sarvaṃ guṇābhūtaṃ atītānāgatasthitaṃ.
hitezin        -> hitEzin        | {@Hiteṣin, Hitaiṣin@} (both spellings in mss.), n. of three former Buddhas in the same list: Mv 〔iii.234.7〕; 〔236.11〕; 〔237.5〕.
jAhu           -> jahu           | [? {@jāhu@}, in RP 〔58.18〕 (vs), printed: dūre jāhu bhujagavad etān (sc. evil companions). Since it is scarcely possible that the Vedic verb aj-, {%drive%} (awa
jAnapati       -> janapati       | [{@jānapati@}, in KP 〔84.8〕 (prose) sarva-śreṣṭhi-naigamajānapatayaḥ, read ˚jānapadāḥ, {%people of the country%}. Tib. and Chin. lack this sentence.]
jAvita         -> javita         | {@jāvita@}, nt. (= {@javita, 1@}; perhaps so read, but Mironov also jā˚), {%running, foot-racing%}: Mvy 〔4999〕 ˚tam = Tib. baṅ, {%foot-race%}.
kAlpam         -> kalpam         | [{@kālpam@} LV 〔407.13〕, error or misprint for kālyam, {%early in the morning%}.]
kAluza         -> kaluza         | {@kāluṣa-@}, either = Skt. kāluṣya, {%turbidity%}, or perhaps error for kaluṣa, {%turbid%}: Gv 〔327.13〕 īrṣyā-mātsarya-māyāśāṭhya-kāluṣāśayaḥ
kaTina         -> kaWina         | {@kathina@}, adj. (= Skt. kaṭhina), {%hard%}: -śilavat ˚nāntarātmā LV 〔158.5〕, so all mss. acc. to Lefm.; Calc. kaṭh˚.
kulina         -> kulIna         | [{@kulina@}, misprint or corruption for Skt. kulīna, adj.: Gv 〔526.16〕 (prose) (sarvajāter adoṣaḥ …) prajāyāṃ kulino (read ˚īno) bhavati.]
kzitiSa        -> kzitISa        | {@kṣitiśa@} (m.c. for Skt. kṣitīśa), {%king%}: RP 〔45.7〕 (vs).
lakzmIpatI     -> lakzmIpati     | {@Lakṣmīpatī@} (so mss., Senart em. ˚matī), n. of a devakumārikā in the southern quarter: Mv 〔iii.307.8〕.
mAskarin       -> maskarin       | {@Māskarin@} = {@Maskarin@}; Av 〔i.231.4〕 (‘probably a clerical error’, Speyer).
mEtrAyana      -> mEtrAyaRa      | [? {@maitrāyana@} (for ˚ṇa?), n. sg. ˚naḥ, Dbh.g. 〔41(67).14〕, if text is right, would seem to be synonym of {@maitrā@}, {%love%}: ˚naḥ śubhaprabhā jagakleśaghā
muktahastA     -> muktahasta     | [{@muktahastā@}, read {@˚hastatā@}, {%liberality%}: Bbh 〔303.13〕.]
niSAWaka       -> niSAwaka       | ? {@niśāṭhaka@} or {@niśāthaka@}, in: kalaha-raṇa-˚kā(ḥ) Mv 〔i.176.6—7〕, ep. of Buddhas; clearly corrupt; Senart em. niśātakā, rendering {%(sharp =) redoubtable
nirAparADa     -> niraparADa     | {@nir-āparādha@}, adj. Bhvr. (m.c. for nir-a˚), {%inoffensive%}: ˚dheṣv aparādhyate (so read) yaḥ LV 〔342.16〕 (vs).
nirupADiSeza   -> nirupaDiSeza   | [{@nirupādhiśeṣa@}, error for {@nirupadhi˚@}, of nirvāṇadhātu: MSV 〔ii.77.11〕; 〔87.13〕.]
paYcavarzika   -> pAYcavarzika   | {@pañcavarṣika@} (so Divy 〔403.16, 27〕; 〔405.11〕; and Kalpanām., below), or (in all others) ˚vārṣika, adj. and subst. nt., {%of five years%}, or as subst., {%th
parijAta       -> pArijAta       | [{@parijāta@}, in ˚tāni puṣpāṇi Mv 〔iii.99.19〕, = Skt. pāri˚, {%a%} (heavenly) {%flower%}; not in Senartʼs Index, hence no doubt merely an uncorrected misprint 
prAYjalIka     -> prAYjalika     | {@prāñjalīka@}, adj. Bhvr. (m.c. for ˚li-ka), {%making a gesture of reverence in front%}: LV 〔81.12〕 (vs).
prAjina        -> prajina        | [{@prājina@}, in Gv 〔414.16〕 ed. na prājineṣu praṇatā sadaiva, read namrā jineṣu …, {%she was always humble and obedient before the Jinas%}.]
prAkfti        -> prakfti        | ? {@prākṛti@} (f.), sometimes in text of Divy for prakṛti, {%nature%}, e.g. 〔310.26〕 ˚tiṃ ca jñātvā; elsewhere in the same phrase, e.g. 〔47.10〕, the regular pra
prahelika      -> prahelikA      | (? {@prahelika@}, m., Mvy 〔7351〕 [one Tib. rendering, lde ḥu, = {%riddle%}, Das; so Jap.], but Mironov reads ˚kā, which in Skt. means {%riddle%}.)
pravarjanA     -> pravarjana     | {@pravarjanā-@} (possibly hyper-Skt. for M. pavajjaṇa to pavajjai = Skt. prapadyate), {%assent, promise%} (?): jñānaketava akhinnavacanāḥ pravarjanā-kuśalāś ca 
rOhiRI         -> rohiRI         | [{@rauhiṇī@}, read prob. rohiṇī with Mironov, Mvy 〔5831〕, n. of some plant; Skt. uses rohiṇī of several plants.]
rikza          -> fkza           | {@rikṣa@} (semi-MIndic for Skt. ṛkṣa), {%bear%}: MSV 〔i.v.15〕.
rocama         -> rocana         | [{@Rocama@}, corruption of a name of a future Tathāgata: Gv 〔443.16〕: (yathā ca maitreyasya …) evam … siṃhasyaivaṃ [Page457-b] yāvad rocamasya tathāgatasya jana
rugma          -> fgma           | {@rugma@} (semi-MIndic for Skt. rukma; no such form recorded elsewhere), {%gold%}: rugma-varṇa Mmk 〔214.20〕.
sAhoQa         -> sahoQa         | {@sāhoḍha@}, adj., m.c. for Skt. sahoḍha, {%having stolen goods with him%}: ˚ḍhā iva caurā(ḥ) LV 〔371.12〕 (vs).
sEla           -> SEla           | {@Saila@} (read {@Śaila?@}), n. of a yakṣa: Māy 〔2〕.
saMButa        -> saMBUta        | {@saṃbhuta@} (m.c. for Skt. ˚ūta), {%originated%} etc.: LV 〔419.9〕; Gv 〔255.12〕; Śikṣ 〔347.8〕 (all vss).
samagrya       -> sAmagrya       | {@samagrya@} (nt., = Skt. sāmagrya, Pali sāmaggiya; perh. short a only m.c.), {%totality%}; only in Bhvr. cpds., and only in vss: daśabalasamagryo 'cirād bhaviṣ
samatikrAma    -> samatikrama    | {@samatikrāma@} = {@˚krama@}: saṃsāra-˚maṃ kuryā iti Av 〔i.300.3〕. Speyer would em. to ˚kramaṃ ‘according to grammar’, a reason which I fail to understand.
sora           -> sOra           | {@sora@} = Skt. svara (〔§ 3.117〕), {%voice, sound%}: cakorasorāṃ (acc. pl.) karaviṅkanāditāṃ LV 〔214.18〕 (vs); meter requires long syllable so-; so Lefm. with 2
suSila         -> suSIla         | {@su-śila@}, adj. (m.c. for ˚śila), {%of good behavior%}: ˚lā LV 〔114.15〕 (vs).
tAlUka         -> tAluka         | [{@tālūka@}, nt, ˚kaṃ MSV 〔i.239.16〕, read śālūka (Skt.), {%edible lotus-root%}.]
vEjayanti      -> vEjayantI      | {@vaijayanti@} (= Skt. ˚tī), {%flag, banner%}: -paṭākā-˚ti- (in a long cpd.) LV 〔295.15〕 (prose; so all mss.; Calc. ˚tī).
vEmacitra      -> vemacitra      | {@Vaimacitra@} = {@Vemacitrin, ˚tra@} (perh. mere corruption or hyper-Sktism): Thomas ap. Hoernle MR 〔105.9〕.
vItaTa         -> vitaTa         | {@vītatha@}, adj. (m.c. for Skt. vi˚), {%false%}: satya-vī˚-patheṣu Gv 〔55.3〕 (vs).
vikalpA        -> vikalpa        | {@vikalpā@} = {@vikalpa@} (1): paraspara-vikalpayā Laṅk 〔287.7〕 (vs); perhaps m.c. for ˚pena, which would not fit metr. here.
vinayanA       -> vinayana       | {@vinayanā@} (in Skt., Pali, and Pkt. only ˚na, nt.), {%instruction, training%}: samādāpanā ˚nā niveśanā pratiṣṭhāpanā Bbh 〔221.6〕 (note all fems.).
