# PD tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
331	ajigarta -> ajIgarta	[consensus,intra_dup,spell_correct]	morph✓
331	ajyAnI -> ajyAni	[consensus,intra_dup,spell_correct]	morph✓
331	anIra -> anira	[consensus,intra_dup,spell_correct]	morph✓
331	analI -> anali	[consensus,intra_dup,spell_correct]	morph✓
331	anunud -> anumud	[consensus,intra_dup,spell_correct]	
331	atyantina -> atyantIna	[consensus,intra_dup,spell_correct]	morph✓
330	apakaraka -> apakAraka	[consensus,intra_dup,spell_correct]	
329	aYcitA -> aYcita	[consensus,intra_dup,spell_correct]	
329	acAlana -> acalana	[consensus,intra_dup,spell_correct]	
329	agniDarA -> agniDArA	[consensus,intra_dup,spell_correct]	
329	ajEkapada -> ajEkapAda	[consensus,intra_dup,spell_correct]	
329	anIrzyA -> anIrzya	[consensus,intra_dup,spell_correct]	
329	atikrAmin -> atikramin	[consensus,intra_dup,spell_correct]	
328	aDvayat -> advayat	[consensus,intra_dup,spell_correct]	morph✓
328	aYcitaBru -> aYcitaBrU	[consensus,intra_dup,spell_correct]	morph✓
328	agrataHSara -> agrataHsara	[consensus,intra_dup,spell_correct]	morph✓
328	anUkAsa -> anUkASa	[consensus,intra_dup,spell_correct]	morph✓
328	anUpahita -> anupahita	[consensus,intra_dup,spell_correct]	morph✓
328	anukASa -> anUkASa	[consensus,intra_dup,spell_correct]	morph✓
328	anuzman -> anUzman	[consensus,intra_dup,spell_correct]	morph✓
327	anDuka -> anduka	[consensus,intra_dup,spell_correct]	morph✓
327	apakzI -> apakzi	[consensus,intra_dup,spell_correct]	
327	atata -> atawa	[consensus,intra_dup,spell_correct]	morph✓
326	aDirAjam -> aDirAjan	[consensus,intra_dup,spell_correct]	morph✓
326	aRukarman -> anukarman	[consensus,intra_dup,spell_correct]	morph✓
326	aRupramARa -> anupramARa	[consensus,intra_dup,spell_correct]	morph✓
326	ananu -> anaRu	[consensus,intra_dup,spell_correct]	morph✓
326	anujjita -> anujJita	[consensus,intra_dup,spell_correct]	morph✓
326	anusvApam -> anuzvApam	[consensus,intra_dup,spell_correct]	morph✓
326	anyatAKyAti -> anyaTAKyAti	[consensus,intra_dup,spell_correct]	morph✓
326	atItara -> atitara	[consensus,intra_dup,spell_correct]	
326	atidIna -> atiqIna	[consensus,intra_dup,spell_correct]	morph✓
325	aDyAropaRA -> aDyAropaRa	[consensus,intra_dup,spell_correct]	morph✓
325	acCuka -> AcCuka	[consensus,intra_dup,spell_correct]	morph✓
325	acCupta -> acCuptA	[consensus,intra_dup,spell_correct]	morph✓
325	ajAmuKa -> ajamuKa	[consensus,intra_dup,spell_correct]	morph✓
325	akAca -> akaca	[consensus,intra_dup,spell_correct]	morph✓
325	akzArAlavaRASin -> akzAralavaRASin	[consensus,intra_dup,spell_correct]	morph✓
325	akzapawalika -> Akzapawalika	[consensus,intra_dup,spell_correct]	morph✓
325	anuvfttA -> anuvftta	[consensus,intra_dup,spell_correct]	morph✓
325	anuzRaSIta -> anuzRASIta	[consensus,intra_dup,spell_correct]	morph✓
325	atimAyA -> atimAya	[consensus,intra_dup,spell_correct]	morph✓
324	aDaHSayin -> aDaHSAyin	[consensus,intra_dup,spell_correct]	morph✓
324	aDaScAra -> aDaScara	[consensus,intra_dup,spell_correct]	morph✓
324	aDarAhanu -> aDarahanu	[consensus,intra_dup,spell_correct]	morph✓
324	aDiSrAya -> aDiSraya	[consensus,intra_dup,spell_correct]	morph✓
324	aDikAkzarA -> aDikAkzara	[consensus,intra_dup,spell_correct]	morph✓
324	aDikArita -> aDikAritA	[consensus,intra_dup,spell_correct]	morph✓
324	aDikarma -> aDikArma	[consensus,intra_dup,spell_correct]	morph✓
324	aDoBAva -> aDoBava	[consensus,intra_dup,spell_correct]	morph✓
324	aDvaja -> aDvajA	[consensus,intra_dup,spell_correct]	morph✓
324	aDvaragA -> aDvaraga	[consensus,intra_dup,spell_correct]	morph✓
324	aGahan -> aGAhan	[consensus,intra_dup,spell_correct]	morph✓
324	aMSakalpana -> aMSakalpanA	[consensus,intra_dup,spell_correct]	morph✓
324	aNgArya -> aNgAryA	[consensus,intra_dup,spell_correct]	morph✓
324	aNgAsparSa -> aNgasparSa	[consensus,intra_dup,spell_correct]	morph✓
324	aNkAvatara -> aNkAvatAra	[consensus,intra_dup,spell_correct]	morph✓
324	aNkuSagrAha -> aNkuSagraha	[consensus,intra_dup,spell_correct]	morph✓
324	aTarvARi -> aTarvaRi	[consensus,intra_dup,spell_correct]	morph✓
324	aYjikA -> aYjika	[consensus,intra_dup,spell_correct]	morph✓
324	aciraBA -> acirABA	[consensus,intra_dup,spell_correct]	morph✓
324	acyutAnta -> acyutanta	[consensus,intra_dup,spell_correct]	morph✓
324	adButasvanA -> adButasvana	[consensus,intra_dup,spell_correct]	morph✓
324	adevata -> adevatA	[consensus,intra_dup,spell_correct]	morph✓
324	adritanaya -> adritanayA	[consensus,intra_dup,spell_correct]	morph✓
324	agADajalA -> agADajala	[consensus,intra_dup,spell_correct]	morph✓
324	agamyAgamin -> agamyAgAmin	[consensus,intra_dup,spell_correct]	morph✓
324	agamyagAmin -> agamyAgAmin	[consensus,intra_dup,spell_correct]	morph✓
324	agamyagamana -> agamyAgamana	[consensus,intra_dup,spell_correct]	morph✓
324	agastyagIta -> agastyagItA	[consensus,intra_dup,spell_correct]	morph✓
324	agniBA -> agniBa	[consensus,intra_dup,spell_correct]	morph✓
324	agnicAya -> agnicaya	[consensus,intra_dup,spell_correct]	morph✓
324	agnihotrAhoma -> agnihotrahoma	[consensus,intra_dup,spell_correct]	morph✓
324	agnijala -> agnijAla	[consensus,intra_dup,spell_correct]	morph✓
324	agnirAja -> agniraja	[consensus,intra_dup,spell_correct]	morph✓
324	agrAjyA -> agrajyA	[consensus,intra_dup,spell_correct]	morph✓
324	ajAloman -> ajaloman	[consensus,intra_dup,spell_correct]	morph✓
324	ajApaTa -> ajapaTa	[consensus,intra_dup,spell_correct]	morph✓
324	ajaTya -> ajaTyA	[consensus,intra_dup,spell_correct]	morph✓
324	ajika -> ajikA	[consensus,intra_dup,spell_correct]	morph✓
324	akfpA -> akfpa	[consensus,intra_dup,spell_correct]	morph✓
324	akzamAlika -> akzamAlikA	[consensus,intra_dup,spell_correct]	morph✓
324	akzaraja -> akzarAja	[consensus,intra_dup,spell_correct]	morph✓
324	akzitAra -> akzitArA	[consensus,intra_dup,spell_correct]	morph✓
324	anAgatabADa -> anAgatAbADa	[consensus,intra_dup,spell_correct]	morph✓
324	anArTatva -> anarTatva	[consensus,intra_dup,spell_correct]	morph✓
324	anUrDvA -> anUrDva	[consensus,intra_dup,spell_correct]	morph✓
324	anaSya -> anASya	[consensus,intra_dup,spell_correct]	morph✓
324	anajaka -> anajakA	[consensus,intra_dup,spell_correct]	morph✓
324	anantaSIrza -> anantaSIrzA	[consensus,intra_dup,spell_correct]	morph✓
324	anantaSayanA -> anantaSayana	[consensus,intra_dup,spell_correct]	morph✓
324	anantatIrTA -> anantatIrTa	[consensus,intra_dup,spell_correct]	morph✓
324	anapA -> anapa	[consensus,intra_dup,spell_correct]	morph✓
324	anapakrAmin -> anapakramin	[consensus,intra_dup,spell_correct]	morph✓
324	anarti -> anArti	[consensus,intra_dup,spell_correct]	morph✓
324	anavalambitA -> anavalambita	[consensus,intra_dup,spell_correct]	morph✓
324	anirmAlya -> anirmAlyA	[consensus,intra_dup,spell_correct]	morph✓
324	anirvAhA -> anirvAha	[consensus,intra_dup,spell_correct]	morph✓
324	annAdAna -> annadAna	[consensus,intra_dup,spell_correct]	morph✓
324	antAgamana -> antagamana	[consensus,intra_dup,spell_correct]	morph✓
324	antaHpatra -> antaHpAtra	[consensus,intra_dup,spell_correct]	morph✓
324	antaHsalilA -> antaHsalila	[consensus,intra_dup,spell_correct]	morph✓
324	antakAra -> antakara	[consensus,intra_dup,spell_correct]	morph✓
324	antarAsTita -> antarasTita	[consensus,intra_dup,spell_correct]	morph✓
324	antarAvayava -> antaravayava	[consensus,intra_dup,spell_correct]	morph✓
324	antarBAvana -> antarBAvanA	[consensus,intra_dup,spell_correct]	morph✓
324	antaradiS -> antarAdiS	[consensus,intra_dup,spell_correct]	morph✓
324	antarduHKA -> antarduHKa	[consensus,intra_dup,spell_correct]	morph✓
324	antarikzapra -> antarikzaprA	[consensus,intra_dup,spell_correct]	morph✓
324	antarmudrA -> antarmudra	[consensus,intra_dup,spell_correct]	morph✓
324	antyakA -> antyaka	[consensus,intra_dup,spell_correct]	morph✓
324	antyapAda -> antyapada	[consensus,intra_dup,spell_correct]	morph✓
324	antyavarRA -> antyavarRa	[consensus,intra_dup,spell_correct]	morph✓
324	anuBUyA -> anuBUya	[consensus,intra_dup,spell_correct]	morph✓
324	anuSiKA -> anuSiKa	[consensus,intra_dup,spell_correct]	morph✓
324	anuSuSrUza -> anuSuSrUzA	[consensus,intra_dup,spell_correct]	morph✓
324	anubanDyA -> anubanDya	[consensus,intra_dup,spell_correct]	morph✓
324	anudArA -> anudAra	[consensus,intra_dup,spell_correct]	morph✓
324	anugatA -> anugata	[consensus,intra_dup,spell_correct]	morph✓
324	anujYApanA -> anujYApana	[consensus,intra_dup,spell_correct]	morph✓
324	anukampitA -> anukampita	[consensus,intra_dup,spell_correct]	morph✓
324	anukramaRika -> anukramaRikA	[consensus,intra_dup,spell_correct]	morph✓
324	anupAnIyA -> anupAnIya	[consensus,intra_dup,spell_correct]	morph✓
324	anupanIya -> anupAnIya	[consensus,intra_dup,spell_correct]	morph✓
324	anusamAya -> anusamaya	[consensus,intra_dup,spell_correct]	morph✓
324	anusvana -> anusvAna	[consensus,intra_dup,spell_correct]	morph✓
324	anuvidDA -> anuvidDa	[consensus,intra_dup,spell_correct]	morph✓
324	anvAramBaRIya -> anvAramBaRIyA	[consensus,intra_dup,spell_correct]	morph✓
324	anvArohA -> anvAroha	[consensus,intra_dup,spell_correct]	morph✓
324	anvayagata -> anvayAgata	[consensus,intra_dup,spell_correct]	morph✓
324	anyAvApa -> anyavApa	[consensus,intra_dup,spell_correct]	morph✓
324	anyaBftA -> anyaBfta	[consensus,intra_dup,spell_correct]	morph✓
324	anyadevatA -> anyadevata	[consensus,intra_dup,spell_correct]	morph✓
324	anyasakta -> anyAsakta	[consensus,intra_dup,spell_correct]	morph✓
324	anyoQa -> anyoQA	[consensus,intra_dup,spell_correct]	morph✓
324	anyonyABeda -> anyonyaBeda	[consensus,intra_dup,spell_correct]	morph✓
324	apakarzasamA -> apakarzasama	[consensus,intra_dup,spell_correct]	morph✓
324	atiSAstra -> atiSastra	[consensus,intra_dup,spell_correct]	morph✓
324	atiTipUjanA -> atiTipUjana	[consensus,intra_dup,spell_correct]	morph✓
324	atidAntA -> atidAnta	[consensus,intra_dup,spell_correct]	morph✓
324	atihAsita -> atihasita	[consensus,intra_dup,spell_correct]	morph✓
324	atilohitA -> atilohita	[consensus,intra_dup,spell_correct]	morph✓
324	atipa -> atipA	[consensus,intra_dup,spell_correct]	morph✓
324	atiromaSA -> atiromaSa	[consensus,intra_dup,spell_correct]	morph✓
324	atisAmya -> atisAmyA	[consensus,intra_dup,spell_correct]	morph✓
324	ativahana -> ativAhana	[consensus,intra_dup,spell_correct]	morph✓
324	atyupaDA -> atyupaDa	[consensus,intra_dup,spell_correct]	morph✓
324	awwalikA -> awwAlikA	[consensus,intra_dup,spell_correct]	morph✓
323	aYcU -> aYcu	[consensus,intra_dup,spell_correct]	
323	anuSrotas -> anusrotas	[consensus,intra_dup,spell_correct]	
322	aDIyamAna -> adIyamAna	[consensus,intra_dup,spell_correct]	
322	adigata -> aDigata	[consensus,intra_dup,spell_correct]	
322	atiSri -> atiSrI	[consensus,intra_dup,spell_correct]	morph✓
321	aDIkarman -> aDikarman	[consensus,intra_dup,spell_correct]	morph✓
321	aDarAraRI -> aDarAraRi	[consensus,intra_dup,spell_correct]	morph✓
321	aDyUDni -> aDyUDnI	[consensus,intra_dup,spell_correct]	morph✓
321	aDyarDaKArika -> aDyarDaKArIka	[consensus,intra_dup,spell_correct]	morph✓
321	aNGrivallI -> aNGrivalli	[consensus,intra_dup,spell_correct]	morph✓
321	aNgulipaYcaka -> aNgulIpaYcaka	[consensus,intra_dup,spell_correct]	morph✓
321	aNkatI -> aNkati	[consensus,intra_dup,spell_correct]	morph✓
321	aRusrotas -> anusrotas	[consensus,intra_dup,spell_correct]	
321	acCUri -> acCUrI	[consensus,intra_dup,spell_correct]	morph✓
321	agrI -> agri	[consensus,intra_dup,spell_correct]	morph✓
321	akzAvali -> akzAvalI	[consensus,intra_dup,spell_correct]	morph✓
321	antarIkzaloka -> antarikzaloka	[consensus,intra_dup,spell_correct]	morph✓
321	anusvaDam -> anuzvaDam	[consensus,intra_dup,spell_correct]	
321	atImokza -> atimokza	[consensus,intra_dup,spell_correct]	morph✓
320	aDyavasAyitA -> aDyavasAyita	[consensus,intra_dup,spell_correct]	
320	atikrAntA -> atikrAnta	[consensus,intra_dup,spell_correct]	
319	anABu -> anABU	[consensus,intra_dup,spell_correct]	morph✓
319	anuBavin -> anuBAvin	[consensus,intra_dup,spell_correct]	
319	ativaha -> ativAha	[consensus,intra_dup,spell_correct]	
318	aDyarDasUrpa -> aDyarDaSUrpa	[consensus,intra_dup,spell_correct]	morph✓
318	aMSaBArika -> aMsaBArika	[consensus,intra_dup,spell_correct]	morph✓
318	aMsaBU -> aMSaBU	[consensus,intra_dup,spell_correct]	morph✓
318	aNguza -> aNgUza	[consensus,intra_dup,spell_correct]	morph✓
318	agnihUta -> agnihuta	[consensus,intra_dup,spell_correct]	morph✓
318	agnisAla -> agniSAla	[consensus,intra_dup,spell_correct]	morph✓
318	anAsya -> anASya	[consensus,intra_dup,spell_correct]	morph✓
318	anUzaRqa -> anuzaRqa	[consensus,intra_dup,spell_correct]	morph✓
318	anupasadam -> anUpasadam	[consensus,intra_dup,spell_correct]	morph✓
318	anusu -> anusU	[consensus,intra_dup,spell_correct]	morph✓
318	anuvASita -> anuvAsita	[consensus,intra_dup,spell_correct]	morph✓
318	anuzita -> anUzita	[consensus,intra_dup,spell_correct]	morph✓
318	anyASakta -> anyAsakta	[consensus,intra_dup,spell_correct]	morph✓
317	aDAman -> adAman	[consensus,intra_dup,spell_correct]	morph✓
317	aNkuWa -> aNkuwa	[consensus,intra_dup,spell_correct]	morph✓
317	adaHkfta -> aDaHkfta	[consensus,intra_dup,spell_correct]	morph✓
317	akoWa -> akowa	[consensus,intra_dup,spell_correct]	morph✓
317	anavya -> aRavya	[consensus,intra_dup,spell_correct]	morph✓
317	annaDAna -> annadAna	[consensus,intra_dup,spell_correct]	morph✓
317	annakozwaka -> annakozWaka	[consensus,intra_dup,spell_correct]	morph✓
317	anvAdya -> anvADya	[consensus,intra_dup,spell_correct]	morph✓
316	aDiprajan -> aDiprajam	[consensus,intra_dup,spell_correct]	morph✓
316	aGAvaha -> agAvaha	[consensus,intra_dup,spell_correct]	morph✓
316	aGri -> agri	[consensus,intra_dup,spell_correct]	morph✓
316	aRubimba -> anubimba	[consensus,intra_dup,spell_correct]	morph✓
316	aRugata -> anugata	[consensus,intra_dup,spell_correct]	morph✓
316	aRukalpita -> anukalpita	[consensus,intra_dup,spell_correct]	morph✓
316	aYjizakTa -> aYjisakTa	[consensus,intra_dup,spell_correct]	morph✓
316	agaRyarUpa -> agamyarUpa	[consensus,intra_dup,spell_correct]	morph✓
316	agniKaqA -> agniKadA	[consensus,intra_dup,spell_correct]	morph✓
316	agrahAyana -> agrahAyaRa	[consensus,intra_dup,spell_correct]	morph✓
316	ajabasti -> ajavasti	[consensus,intra_dup,spell_correct]	morph✓
316	akulawA -> akulatA	[consensus,intra_dup,spell_correct]	morph✓
316	akzAvapaRa -> akzAvapana	[consensus,intra_dup,spell_correct]	morph✓
316	anEqa -> aneqa	[consensus,intra_dup,spell_correct]	morph✓
316	anO -> ano	[consensus,intra_dup,spell_correct]	morph✓
316	anOjas -> anojas	[consensus,intra_dup,spell_correct]	morph✓
316	anOkaSAyin -> anokaSAyin	[consensus,intra_dup,spell_correct]	morph✓
316	anaPa -> anapa	[consensus,intra_dup,spell_correct]	morph✓
316	anamyatA -> ananyatA	[consensus,intra_dup,spell_correct]	morph✓
316	annaBid -> annavid	[consensus,intra_dup,spell_correct]	morph✓
316	antargarva -> antargarBa	[consensus,intra_dup,spell_correct]	morph✓
316	anunIyamAna -> anumIyamAna	[consensus,intra_dup,spell_correct]	morph✓
316	anunodita -> anumodita	[consensus,intra_dup,spell_correct]	morph✓
316	anupaneya -> anupameya	[consensus,intra_dup,spell_correct]	morph✓
316	anuveza -> anuveSa	[consensus,intra_dup,spell_correct]	morph✓
316	anuzU -> anusU	[consensus,intra_dup,spell_correct]	morph✓
316	anvI -> aRvI	[consensus,intra_dup,spell_correct]	morph✓
316	anvanta -> aRvanta	[consensus,intra_dup,spell_correct]	morph✓
316	anyatAdarSana -> anyaTAdarSana	[consensus,intra_dup,spell_correct]	morph✓
316	anyavfta -> anyaBfta	[consensus,intra_dup,spell_correct]	morph✓
316	atamAna -> awamAna	[consensus,intra_dup,spell_correct]	morph✓
316	atibAhya -> ativAhya	[consensus,intra_dup,spell_correct]	morph✓
316	ativfta -> atiBfta	[consensus,intra_dup,spell_correct]	morph✓
310	akampra -> Akampra	[consensus,intra_dup,spell_correct]	
309	aDaHkziptA -> aDaHkzipta	[consensus,intra_dup,spell_correct]	
309	aDivApana -> aDivapana	[consensus,intra_dup,spell_correct]	
309	aDyAsta -> aDyasta	[consensus,intra_dup,spell_correct]	
309	aDyasitavya -> aDyAsitavya	[consensus,intra_dup,spell_correct]	
309	aGaha -> aGAha	[consensus,intra_dup,spell_correct]	
309	aYjihiza -> aYjihizA	[consensus,intra_dup,spell_correct]	
309	advEtAsidDi -> advEtasidDi	[consensus,intra_dup,spell_correct]	
309	akUvArA -> akUvAra	[consensus,intra_dup,spell_correct]	
309	anANgatva -> anaNgatva	[consensus,intra_dup,spell_correct]	
309	ananusaMDAnA -> ananusaMDAna	[consensus,intra_dup,spell_correct]	
309	anapacitA -> anapacita	[consensus,intra_dup,spell_correct]	
309	antarAgata -> antaragata	[consensus,intra_dup,spell_correct]	
309	anumitsa -> anumitsA	[consensus,intra_dup,spell_correct]	
309	anunayana -> anunAyana	[consensus,intra_dup,spell_correct]	
309	anuvAtA -> anuvAta	[consensus,intra_dup,spell_correct]	
309	anyAvizaya -> anyavizaya	[consensus,intra_dup,spell_correct]	
309	anyAyoga -> anyayoga	[consensus,intra_dup,spell_correct]	
309	anyaSAKA -> anyaSAKa	[consensus,intra_dup,spell_correct]	
309	anyagocara -> anyagocarA	[consensus,intra_dup,spell_correct]	
309	anyayogA -> anyayoga	[consensus,intra_dup,spell_correct]	
309	atiGorA -> atiGora	[consensus,intra_dup,spell_correct]	
309	atiSaNkitA -> atiSaNkita	[consensus,intra_dup,spell_correct]	
309	atiSayAna -> atiSayana	[consensus,intra_dup,spell_correct]	
309	aticAtura -> aticatura	[consensus,intra_dup,spell_correct]	
309	atidurbalA -> atidurbala	[consensus,intra_dup,spell_correct]	
309	atigamBIrA -> atigamBIra	[consensus,intra_dup,spell_correct]	
309	atilAlita -> atilalita	[consensus,intra_dup,spell_correct]	
309	atipatya -> atipAtya	[consensus,intra_dup,spell_correct]	
309	atiriktA -> atirikta	[consensus,intra_dup,spell_correct]	
309	ativegitA -> ativegita	[consensus,intra_dup,spell_correct]	
309	ativiDurA -> ativiDura	[consensus,intra_dup,spell_correct]	
309	atiyAma -> atiyama	[consensus,intra_dup,spell_correct]	
309	atyayat -> atyAyat	[consensus,intra_dup,spell_correct]	
306	aDISrI -> aDiSrI	[consensus,intra_dup,spell_correct]	
306	aNgi -> aNgI	[consensus,intra_dup,spell_correct]	
306	aNki -> aNkI	[consensus,intra_dup,spell_correct]	
306	anuvi -> anuvI	[consensus,intra_dup,spell_correct]	
306	atIvrata -> ativrata	[consensus,intra_dup,spell_correct]	
303	atyaSita -> atyasita	[consensus,intra_dup,spell_correct]	
302	anupadi -> anupaDi	[consensus,intra_dup,spell_correct]	
301	aRuBUta -> anuBUta	[consensus,intra_dup,spell_correct]	
301	aRyadarTa -> anyadarTa	[consensus,intra_dup,spell_correct]	
301	akUbAra -> akUvAra	[consensus,intra_dup,spell_correct]	
301	akzIBa -> akzIva	[consensus,intra_dup,spell_correct]	
301	anuBAta -> anuvAta	[consensus,intra_dup,spell_correct]	
301	anunAsa -> anumAsa	[consensus,intra_dup,spell_correct]	
301	atidurvala -> atidurbala	[consensus,intra_dup,spell_correct]	
274	aKyA -> AKyA	[consensus,spell_correct]	morph✓
266	ajya -> Ajya	[dict_vs_corpus,spell_correct]	morph✓
266	akfti -> Akfti	[dict_vs_corpus,spell_correct]	morph✓
266	anuttAra -> anuttara	[dict_vs_corpus,spell_correct]	morph✓
264	aKyAna -> AKyAna	[consensus,spell_correct]	morph✓
264	ajYA -> AjYA	[consensus,spell_correct]	morph✓
255	agrayaRa -> AgrayaRa	[consensus,intra_dup]	morph✓
255	ajEkapad -> ajEkapAd	[consensus,intra_dup]	morph✓
255	aqambara -> Aqambara	[consensus,spell_correct]	morph✓
254	aGfRi -> AGfRi	[consensus,spell_correct]	morph✓
254	aKu -> AKu	[consensus,spell_correct]	morph✓
254	acCid -> AcCid	[consensus,spell_correct]	morph✓
254	agnAvEzRava -> AgnAvEzRava	[consensus,spell_correct]	morph✓
254	agneyI -> AgneyI	[consensus,spell_correct]	morph✓
254	agnimAruta -> AgnimAruta	[consensus,spell_correct]	morph✓
254	agrahAyaRI -> AgrahAyaRI	[consensus,spell_correct]	morph✓
254	akANkzA -> AkANkzA	[consensus,spell_correct]	morph✓
254	akarzaRa -> AkarzaRa	[consensus,spell_correct]	morph✓
254	akrIqa -> AkrIqa	[consensus,spell_correct]	morph✓
254	akzepa -> Akzepa	[consensus,spell_correct]	morph✓
254	akzipta -> Akzipta	[consensus,spell_correct]	morph✓
254	anayana -> Anayana	[consensus,spell_correct]	morph✓
254	anulomya -> Anulomya	[consensus,spell_correct]	morph✓
254	anvayat -> anvAyat	[intra_dup,spell_correct]	morph✓
254	atAmra -> AtAmra	[consensus,spell_correct]	morph✓
251	aDIkAravat -> aDikAravat	[intra_dup,spell_correct]	morph✓
247	agnimaT -> agnimat	[consensus,intra_dup]	morph✓
246	aRavat -> amavat	[consensus,spell_correct]	morph✓
246	aRutas -> amutas	[consensus,spell_correct]	morph✓
246	agamita -> agaRita	[consensus,spell_correct]	morph✓
246	anantra -> amantra	[consensus,spell_correct]	morph✓
246	anutas -> amutas	[consensus,spell_correct]	morph✓
245	anuSAsanika -> AnuSAsanika	[consensus,spell_correct]	morph✓
245	anurakzaRA -> anurakzaRa	[intra_dup,spell_correct]	morph✓
245	atilomA -> atiloma	[consensus,spell_correct]	morph✓
244	aDamana -> ADamana	[consensus,spell_correct]	morph✓
244	aDogamA -> aDogama	[intra_dup,spell_correct]	morph✓
244	aKewa -> AKewa	[consensus,spell_correct]	morph✓
244	aKyApana -> AKyApana	[consensus,spell_correct]	morph✓
244	acCeda -> AcCeda	[consensus,spell_correct]	morph✓
244	acCurita -> AcCurita	[consensus,spell_correct]	morph✓
244	acandrA -> acandra	[intra_dup,spell_correct]	morph✓
244	adahana -> Adahana	[consensus,spell_correct]	morph✓
244	agnIDrIya -> AgnIDrIya	[consensus,spell_correct]	morph✓
244	agrahAyaRika -> AgrahAyaRika	[consensus,spell_correct]	morph✓
244	ajIv -> AjIv	[consensus,spell_correct]	morph✓
244	ajanana -> Ajanana	[consensus,spell_correct]	morph✓
244	akAravat -> AkAravat	[consensus,spell_correct]	morph✓
244	anDIgava -> AnDIgava	[consensus,spell_correct]	morph✓
244	anuzWya -> anuzWyA	[consensus,spell_correct]	morph✓
244	atApin -> AtApin	[consensus,spell_correct]	morph✓
244	atarpaRa -> AtarpaRa	[consensus,spell_correct]	morph✓
244	atiTeya -> AtiTeya	[consensus,spell_correct]	morph✓
244	ativAc -> ativac	[intra_dup,spell_correct]	morph✓
242	anvADI -> anvADi	[consensus,intra_dup]	morph✓
241	aYjalIpuwa -> aYjalipuwa	[intra_dup,spell_correct]	morph✓
240	akulA -> akula	[consensus,intra_dup]	
240	akzoByA -> akzoBya	[consensus,intra_dup]	
240	anUkA -> anUka	[consensus,intra_dup]	
239	aDaHpatana -> aDaHpAtana	[intra_dup,spell_correct]	
239	agAmin -> AgAmin	[consensus,spell_correct]	
239	antarapuruza -> antarapUruza	[consensus,intra_dup]	morph✓
238	agniDamanI -> agnidamanI	[consensus,intra_dup]	morph✓
238	anUyAjavat -> anuyAjavat	[intra_dup,spell_correct]	morph✓
237	anuvartmam -> anuvartman	[consensus,intra_dup]	morph✓
236	anAt -> amAt	[consensus,spell_correct]	morph✓
236	ananyamAna -> amanyamAna	[consensus,spell_correct]	morph✓
235	agrajihvA -> agrajihva	[consensus,intra_dup]	morph✓
235	anaNgaleKa -> anaNgaleKA	[consensus,intra_dup]	morph✓
235	anupakruzwa -> anupAkruzwa	[intra_dup,spell_correct]	morph✓
234	aDirukmA -> aDirukma	[consensus,spell_correct]	morph✓
234	aDivastrA -> aDivastra	[consensus,spell_correct]	morph✓
234	aDyAyika -> ADyAyika	[consensus,spell_correct]	morph✓
234	aGawwaka -> AGawwaka	[consensus,spell_correct]	morph✓
234	aYjasInA -> aYjasIna	[consensus,spell_correct]	morph✓
234	acCidyamAnA -> acCidyamAna	[consensus,spell_correct]	morph✓
234	adeSin -> AdeSin	[consensus,spell_correct]	morph✓
234	adevana -> Adevana	[consensus,spell_correct]	morph✓
234	adomUlA -> adomUla	[consensus,spell_correct]	morph✓
234	agniveSi -> AgniveSi	[consensus,spell_correct]	morph✓
234	agrasenA -> agrasena	[intra_dup,spell_correct]	morph✓
234	ajIvaka -> AjIvaka	[consensus,spell_correct]	morph✓
234	ajozA -> ajoza	[consensus,spell_correct]	morph✓
234	akarin -> Akarin	[consensus,spell_correct]	morph✓
234	akekara -> Akekara	[consensus,spell_correct]	morph✓
234	anUpyA -> anUpya	[consensus,spell_correct]	morph✓
234	anapasPurA -> anapasPura	[consensus,spell_correct]	morph✓
234	anft -> Anft	[consensus,spell_correct]	morph✓
234	anizavyA -> anizavya	[consensus,spell_correct]	morph✓
234	anyANga -> anyaNga	[consensus,spell_correct]	morph✓
234	atuc -> Atuc	[consensus,spell_correct]	morph✓
232	anasti -> anasTi	[consensus,intra_dup]	
232	anupraDA -> anupradA	[intra_dup,spell_correct]	
230	aKarvA -> aKarva	[consensus,intra_dup]	
230	agajA -> agaja	[consensus,intra_dup]	
230	anupratizWa -> anupratizWA	[intra_dup,spell_correct]	
230	atiraktA -> atirakta	[consensus,intra_dup]	
230	atyUhA -> atyUha	[consensus,intra_dup]	
229	aDaHSAlya -> aDaHSalya	[intra_dup,spell_correct]	
229	aDaHSalyA -> aDaHSalya	[intra_dup,spell_correct]	
229	akal -> Akal	[consensus,spell_correct]	
229	akarRikA -> akarRika	[intra_dup,spell_correct]	
229	anagnikA -> anagnika	[intra_dup,spell_correct]	
229	anavaDAraRA -> anavaDAraRa	[intra_dup,spell_correct]	
229	antarABAva -> antarABava	[intra_dup,spell_correct]	
229	atipicCilA -> atipicCila	[intra_dup,spell_correct]	
229	atirohitA -> atirohita	[intra_dup,spell_correct]	
227	aNgAraSakawi -> aNgAraSakawI	[consensus,intra_dup]	
226	ajAkzi -> ajAkzI	[intra_dup,spell_correct]	
226	anAvayu -> anAbayu	[intra_dup,spell_correct]	morph✓
226	anutsuKa -> anutsuka	[consensus,spell_correct]	morph✓
225	aDaHkAra -> aDaHkara	[consensus,intra_dup]	morph✓
225	acalasaptamI -> acalAsaptamI	[intra_dup,spell_correct]	morph✓
